firm_name,prospect_type,contact_name,email,county,touch,subject,send_status,prospect_status,sent_at,delivered_at,opened_at,wa_clicked_at,joined_whatsapp_at,bounced_at,suppressed,suppression_reason,prospect_id,send_id
FOSTER MOHAMMED SOLICITORS,firm,,info@fostermohammed.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,delivered,sent,2026-06-22T09:39:23.560Z,2026-06-22T09:39:25.349Z,,,,,false,,fop_2367c496eb4622c7,fos_mqp0xf28_8aa1d996
ORWILLO & CO SOLICITORS LTD,firm,,info@orwillosolicitors.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:20.060Z,2026-06-22T09:39:22.077Z,,2026-06-22T09:39:56.977Z,,,false,,fop_440eb60cd0924e25,fos_mqp0xcb4_45fe6e1f
NOBLE SOLICITORS - HERTFORDSHIRE,firm,,info@noblesolicitors.co.uk,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:18.253Z,2026-06-22T09:39:20.429Z,,2026-06-22T09:40:03.314Z,,,false,,fop_b3d2f0b099df0855,fos_mqp0xawz_a67c8842
ABR SOLICITORS - LEEDS (INC. O'GARRAS),firm,,enquiries@abrsolicitors.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:16.315Z,2026-06-22T09:39:17.595Z,,2026-06-22T09:39:45.170Z,,,false,,fop_54eda7cbf2096b15,fos_mqp0x9h8_78443a7a
ROSEWOOD SOLICITORS LIMITED,firm,,info@rosewood-solicitors.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,delivered,sent,2026-06-22T09:39:13.203Z,2026-06-22T09:39:14.338Z,,,,,false,,fop_c74f319c8358e5d5,fos_mqp0x72q_3bed8daf
SMART CRIMINAL DEFENCE LTD,firm,,info@smartcriminaldefence.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,delivered,sent,2026-06-22T09:39:10.806Z,2026-06-22T09:39:12.211Z,,,,,false,,fop_50740b1a8531529e,fos_mqp0x585_3e19a1be
KELLOCKS SOLICITORS (SUTCLIFFE REED),firm,,info@kellocks.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:08.376Z,2026-06-22T09:39:10.117Z,,2026-06-22T09:39:25.997Z,,,false,,fop_20da9046c0a2f8a9,fos_mqp0x3cw_956530f1
AGI CRIMINAL SOLICITORS,firm,,info@agicriminalsolicitors.co.uk,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:06.440Z,2026-06-22T09:39:08.793Z,,2026-06-22T09:39:27.104Z,,,false,,fop_5012907fa2564dca,fos_mqp0x1v4_a179ed4f
RUSTEM GUARDIAN SOLICITORS,firm,,info@rustemguardian.co.uk,,Initial invite,Free WhatsApp group for criminal firms — police station cover,delivered,sent,2026-06-22T09:39:04.436Z,2026-06-22T09:39:05.995Z,,,,,false,,fop_639aef11a88944b1,fos_mqp0x0bq_b954f75e
BELMORES,firm,,info@belmores.co.uk,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:39:01.993Z,2026-06-22T09:39:03.634Z,,2026-06-22T09:39:45.426Z,,,false,,fop_719e408b32d8f91a,fos_mqp0wyfs_f494e329
Freeman Brown Solicitors LTD,firm,,info@freemanchamberssolicitors.com,North Yorkshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:58.600Z,2026-06-22T09:38:59.818Z,,,,,false,,fop_ac25983135cc9aea,fos_mqp0wvms_1d6a4317
Finsbury Law Solicitors LTD,firm,,contact@finsburylaw.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:57.133Z,2026-06-22T09:38:58.946Z,,,,,false,,fop_734eee94af72bdd1,fos_mqp0wui6_e3a5dd99
Birketts LLP,firm,,enquiries@birketts.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-22T09:38:55.465Z,2026-06-22T09:38:57.338Z,,2026-06-22T15:25:25.129Z,,,false,,fop_3ed0e9ff4b276836,fos_mqp0wt7k_a28d6083
Vanguard Solicitors,firm,,info@vanguardlawsolicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-22T09:38:54.111Z,2026-06-22T09:38:56.183Z,,2026-06-22T09:39:12.226Z,,,false,,fop_9d4c564c215163f6,fos_mqp0ws3t_5c3a86dc
Jfh Law,firm,,info@jfhlaw.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:52.820Z,2026-06-22T09:38:55.099Z,,,,,false,,fop_d1e7c7d948ccaf6f,fos_mqp0wr1u_20a2e749
Hurrairah Harris Solicitors,firm,,info@hh-solicitors.co.uk,West Yorkshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:51.375Z,2026-06-22T09:38:54.082Z,,,,,false,,fop_280e1f317547cfa6,fos_mqp0wpzs_90651398
Hedley Solicitors,firm,,enquiries@hedleysolicitors.co.uk,Northumberland,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:49.866Z,2026-06-22T09:38:51.683Z,,,,,false,,fop_2924bdb501b91406,fos_mqp0wow3_bc6274fa
Defence Law LTD,firm,,unitedindefence@gmail.com,Leicestershire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:48.259Z,2026-06-22T09:38:49.406Z,,,,,false,,fop_e6a1dc40bdcff78d,fos_mqp0wnni_92d811c3
Azam & Co Solicitors,firm,,azamandco@outlook.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:46.871Z,2026-06-22T09:38:51.805Z,,,,,false,,fop_3bf512880c93a2ee,fos_mqp0wmix_9ab85f71
F A Lee & Co Solicitors,firm,,info@lee-kan.com,Middlesex,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,bounced,sent,2026-06-22T09:38:45.438Z,2026-06-22T09:38:46.617Z,,,,2026-06-22T09:38:47.176Z,false,,fop_2bfc064ffd444563,fos_mqp0wlh3_fee17f68
K B Legal,firm,,info@mandm.legal,Devon,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:43.822Z,2026-06-22T09:38:45.151Z,,,,,false,,fop_3c04de7f336b7839,fos_mqp0wkce_bcf533e0
Daniel Woodman & Co LTD,firm,,info@danielandbaker.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-22T09:38:42.303Z,2026-06-22T09:38:44.778Z,,2026-06-22T09:57:52.649Z,,,false,,fop_17e473143e4af8aa,fos_mqp0wj1w_04b125dd
Richard Haswell Solicitors LTD,firm,,info@carr-richards.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-22T09:38:40.838Z,2026-06-22T09:38:42.392Z,,2026-06-22T09:40:01.711Z,,,false,,fop_c924156862ff5ef2,fos_mqp0whvf_be702147
Lansbury Worthington LTD,firm,,info@lansbury-worthington.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:39.374Z,2026-06-22T09:38:40.648Z,,,,,false,,fop_2d2889925da90860,fos_mqp0wgqm_3e535307
Bird & Co Solicitors LLP,firm,,enquiries@birdandco.co.uk,Lincolnshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-22T09:38:37.911Z,2026-06-22T09:38:39.365Z,,2026-06-22T09:39:33.718Z,,,false,,fop_c0dde82dd899aabe,fos_mqp0wfly_7e89f0b2
Gregsons Solicitors,firm,,info@gregsons.co.uk,Nottinghamshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:36.457Z,2026-06-22T09:38:38.371Z,,,,,false,,fop_23c0af80178bf119,fos_mqp0wehg_6456336a
Jones Knowles Warburton LTD,firm,,info@joneswhyte.co.uk,Cheshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:35.079Z,2026-06-22T09:38:37.018Z,,,,,false,,fop_3eb8dd7b79631a22,fos_mqp0wdf8_736f5d22
Fosters Solicitors LLP,firm,,enquiries@fosters-solicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-22T09:38:33.627Z,2026-06-22T09:38:35.485Z,,2026-06-22T09:38:50.883Z,,,false,,fop_f4f7ebbfbcc9e1fc,fos_mqp0wcav_54f0c802
Metcalfe Copeman & Pettefar Solicitors LLP,firm,,info@mcp-law.co.uk,Cambridgeshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:32.182Z,2026-06-22T09:38:34.367Z,,,,,false,,fop_9d43b31bdb2f305f,fos_mqp0wb8w_9296f564
Row & Scott LTD,firm,,info@manorrowsolicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:30.747Z,2026-06-22T09:38:33.053Z,,,,,false,,fop_abd4df519daf5562,fos_mqp0wa51_88e08eae
Lords Solicitors (Wakefield) LTD,firm,,info@wrightandlord.com,West Yorkshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-22T09:38:29.158Z,2026-06-22T09:38:35.190Z,,,,,false,,fop_a5bf006537b139f1,fos_mqp0w8wu_741c1993
Dgw Law LTD T/A Hayfield Law,firm,,info@hayfieldlaw.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:38:27.625Z,2026-06-22T09:38:29.616Z,,2026-06-22T09:38:46.820Z,,,false,,fop_ca46c967b337f94d,fos_mqp0w7sq_eb738493
Foster Mohammed Solicitors LTD,firm,,info@fosterlaw.co.uk,West Midlands,Initial invite,Free WhatsApp group for criminal firms — police station cover,clicked,sent,2026-06-22T09:38:25.219Z,2026-06-22T09:38:26.984Z,,2026-06-22T09:41:08.830Z,,,false,,fop_081d391e4d2f9c3f,fos_mqp0w622_400d6148
Ag Law Limited,firm,,info@agcorporatelaw.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,delivered,sent,2026-06-22T09:38:22.769Z,2026-06-22T09:38:24.719Z,,,,,false,,fop_9253fd719f90995d,fos_mqp0w45z_a7658f44
Adam Legal Services Solicitors LTD T/A Als Solicitors LTD,firm,,info@adamlibah.com,,Initial invite,Free WhatsApp group for criminal firms — police station cover,delivered,sent,2026-06-22T09:38:20.355Z,2026-06-22T09:38:21.843Z,,,,,false,,fop_24c62a106ddea887,fos_mqp0w291_22bc0c63
A Vincent Solicitors LTD,firm,,info@avincentsolicitors.co.uk,,Initial invite,Police station agent cover in Kent — for criminal defence firms,sent,sent,2026-06-22T09:34:59.013Z,,,,,,false,,fop_e069534aad0a8d53,fos_mqp0rqya_35bee150
Harwood Solicitors,firm,,info@harwoodsolicitors.co.uk,Lancashire,Initial invite,Police station agent cover in Kent — for criminal defence firms,sent,sent,2026-06-22T09:34:07.588Z,,,,,,false,,fop_c7c7e4240d77d0cf,fos_mqp0qn9o_eb83d613
Tml Solicitors,firm,,info@tml-solicitors.co.uk,Leicestershire,Follow-up (day 7),Reminder: Kent police station agent cover for your firm,sent,sent,2026-06-22T09:33:14.232Z,,,,,,false,,fop_0e63524927848f09,fos_mqp0phwz_eb4b133e
Sahota & Sahota Solicitors,firm,,info@sahotasahota.co.uk,,Follow-up (day 7),Reminder: Kent police station agent cover for your firm,sent,sent,2026-06-22T09:33:12.850Z,,,,,,false,,fop_2d3e7df29c2b1d92,fos_mqp0pguh_268cbe4f
Kingsbury Ellis LLP,firm,,info@kingsburyellis.co.uk,,Follow-up (day 7),Reminder: Kent police station agent cover for your firm,sent,sent,2026-06-22T09:33:11.563Z,,,,,,false,,fop_e625eae6c1ab40ea,fos_mqp0pfup_7e13b56d
Equity Law Solicitors,firm,,info@equitylawsolicitors.com,,Follow-up (day 7),Reminder: Kent police station agent cover for your firm,sent,sent,2026-06-22T09:33:10.193Z,,,,,,false,,fop_52b9841cdbd3ed2c,fos_mqp0pesn_606be6a7
Cantaris Locke Solicitors,firm,,info@cantarislocke.co.uk,Hertfordshire,Follow-up (day 7),Reminder: Kent police station agent cover for your firm,sent,sent,2026-06-22T09:33:08.844Z,,,,,,false,,fop_cfa29eb7b8e0d0fe,fos_mqp0pdri_b8cb61e7
Shafi Legal LTD T/A Shafi Solicitors,firm,,contact@shafi-solicitors.co.uk,,Follow-up (day 7),Reminder: Kent police station agent cover for your firm,sent,sent,2026-06-22T09:33:07.528Z,,,,,,false,,fop_5f881415c3433f0f,fos_mqp0pcqn_78e73679
Caveat Solicitors,firm,,info@caveatsolicitors.com,,Follow-up (day 7),Reminder: Kent police station agent cover for your firm,sent,sent,2026-06-22T09:33:06.208Z,,,,,,false,,fop_c1b83772bb3387ba,fos_mqp0pbq1_fa87155c
Adel Jibs & Co Solicitors,firm,,info@adeljibssolicitors.co.uk,,Follow-up (day 7),Reminder: Kent police station agent cover for your firm,sent,sent,2026-06-22T09:33:04.979Z,,,,,,false,,fop_e39f2bddacf1fe64,fos_mqp0papr_9c5a8e3f
Montague Solicitors LTD,firm,,info@montaguesolicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:42.651Z,2026-06-21T11:34:44.322Z,,,,,false,,fop_c176a7eee2e69547,fos_mqnpluwv_681df637
Avisons Law LTD,firm,,info@avisonslaw.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:41.209Z,2026-06-21T11:34:42.763Z,,2026-06-21T11:34:55.319Z,,,false,,fop_5cf6e06b632e6a65,fos_mqnpltt4_55b1ea99
Newgate Solicitors,firm,,info@newgatesolicitors.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:39.813Z,2026-06-21T11:34:42.163Z,,,,,false,,fop_2dcf75ab902069a0,fos_mqnplss8_33aacc0e
Ashmans Solicitors LTD,firm,,enquiries@ashmanssolicitors.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:38.311Z,2026-06-21T11:34:39.934Z,,2026-06-21T11:34:54.797Z,,,false,,fop_2a72b84d72a6a966,fos_mqnplroq_9c8ef80a
Prime Solicitors LTD,firm,,info@primelegalsolicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:36.947Z,2026-06-21T11:34:38.592Z,,,,,false,,fop_504d95525ce8fc4d,fos_mqnplqkc_bcb079f8
Skr Legal Solicitors,firm,,info@skr-legal.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:35.490Z,2026-06-21T11:34:37.703Z,,,,,false,,fop_be0cf5696eb98506,fos_mqnplpg8_b5a7e040
Sbg Solicitors,firm,,contact@sbgsolicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:34.190Z,2026-06-21T11:34:36.780Z,,,,,false,,fop_1538121741634623,fos_mqnplodw_ab1d4bf6
Cale Solicitors,firm,,info@calesolicitors.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:32.672Z,2026-06-21T11:34:34.061Z,,,,,false,,fop_952573a204daa507,fos_mqnplnbx_a055967b
Khan's Law Firm LTD Ta Kk & Co,firm,,info@kksols.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:31.389Z,2026-06-21T11:34:32.780Z,,2026-06-22T07:12:56.809Z,,,false,,fop_fc7dce43071b7ec3,fos_mqnplm82_8c3a82af
Redhead & Jones,firm,,info@redheadandjones.com,Wiltshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:29.955Z,2026-06-21T11:34:31.423Z,,,,,false,,fop_f329fd68f64a212b,fos_mqnpll6b_f58bda43
Yates Ardern,firm,,enquiries@yatesardern.co.uk,Lancashire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:28.572Z,2026-06-21T11:34:30.214Z,,2026-06-21T11:34:44.259Z,,,false,,fop_794255c32b9a821b,fos_mqnplk3y_b7a8c5e1
Cyril Morris Arkwright,firm,,info@cma-law.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:27.099Z,2026-06-21T11:34:28.978Z,,,,,false,,fop_f52f80ff5b0051b3,fos_mqnpliww_83a7d5f9
A2 Solicitors,firm,,info@a2sols.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:25.500Z,2026-06-21T11:34:27.031Z,,,,,false,,fop_22153c0a38cf0058,fos_mqnplhsr_92c72409
Irvine Thanvi Natas Solicitors,firm,,enquiries@itnsolicitors.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:23.943Z,2026-06-21T11:34:25.678Z,,2026-06-21T11:38:03.797Z,,,false,,fop_d66cccc3e10bca6b,fos_mqnplgjf_f1c1c359
Morrison Spowart LTD,firm,,enquiries@morrisonspowart.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:22.479Z,2026-06-21T11:34:24.181Z,,2026-06-21T11:34:38.380Z,,,false,,fop_65d124ea304500b5,fos_mqnplfgy_3fb6ad48
Howard Bernstein Solicitors LTD,firm,,enquiries@howardbernsteinsolicitors.co.uk,Derbyshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:21.039Z,2026-06-21T11:34:23.489Z,,,,,false,,fop_3d7e8b9e0052c6f4,fos_mqnplect_128d6020
Bsb Solicitors,firm,,info@bsbsolicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:19.654Z,2026-06-21T11:34:21.224Z,,2026-06-21T11:34:35.617Z,,,false,,fop_fb94a163ae844e0d,fos_mqnpld65_f7b0b0f4
Kayders Solicitors,firm,,info@kayders.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:18.279Z,2026-06-21T11:34:19.350Z,,2026-06-21T13:40:31.208Z,,,false,,fop_24458a5b575c79f1,fos_mqnplc62_a402075d
Chris Stevenson Solicitors,firm,,enquiries@chris-stevenson.co.uk,South Yorkshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:16.804Z,2026-06-21T11:34:18.444Z,,,,,false,,fop_36a5c6592a7b061f,fos_mqnplb37_40c4d3e1
C W Booth & Co,firm,,info@cwbooth.co.uk,Co Durham,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:15.319Z,2026-06-21T11:34:20.082Z,,2026-06-21T11:34:17.761Z,,,false,,fop_6d490d56e7204d7e,fos_mqnpl9xx_860f8b02
Murray Hughman,firm,,info@murrayhughman.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:13.865Z,2026-06-21T11:34:16.272Z,,2026-06-21T11:34:32.008Z,,,false,,fop_6b39a0c619efd5c1,fos_mqnpl8tk_db38f9db
Turnocks Defence Solicitors LTD,firm,,enquiries@turnocks.com,Staffordshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:12.381Z,2026-06-21T11:34:14.367Z,,,,,false,,fop_10cb1fdf3e90a041,fos_mqnpl7oa_1e59f321
Tank Jowett,firm,,info@tankjowett.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:10.872Z,2026-06-21T11:34:12.542Z,,,,,false,,fop_29fffc9b12ad2649,fos_mqnpl6im_1999363a
Ebr Attridge LLP,firm,,enquiries@ebrattridge.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:09.008Z,2026-06-21T11:34:12.037Z,,2026-06-21T11:34:25.150Z,,,false,,fop_9952b4ba454fc545,fos_mqnpl52k_eb8b1303
Amicus Law (South West) LLP,firm,,info@amicuslaw.co.uk,Somerset,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:06.315Z,2026-06-21T11:34:08.016Z,,2026-06-21T11:34:21.347Z,,,false,,fop_9bdd5866dce83b73,fos_mqnpl300_70bbfd66
Liberty Law Solicitors LTD,firm,,info@libertylawsolicitors.co.uk,Bedfordshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:04.933Z,2026-06-21T11:34:06.758Z,,2026-06-21T11:34:22.629Z,,,false,,fop_02f57ac8886d8678,fos_mqnpl1va_f7a724ce
Kbs Solicitors,firm,,info@kbs-solicitors.co.uk,West Yorkshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:03.467Z,2026-06-21T11:34:08.571Z,,2026-06-21T11:34:06.039Z,,,false,,fop_10ab99fa3a7b9c4f,fos_mqnpl0sp_1948debf
Shaw Graham Kersh LLP,firm,,info@sgkllp.com,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:34:01.969Z,2026-06-21T11:34:06.682Z,,2026-06-21T11:34:04.050Z,,,false,,fop_802b0c27e95e4544,fos_mqnpkzn7_bba2b7bd
Mckenzies Solicitors,firm,,enquiries@mckenzies-solicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:34:00.601Z,2026-06-21T11:34:02.200Z,,2026-06-21T11:34:21.095Z,,,false,,fop_1a7eecbc7b23215e,fos_mqnpkyj0_2c908316
Dodds Solicitors LLP,firm,,enquiries@dodds-solicitors.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:33:59.133Z,2026-06-21T11:34:00.538Z,,2026-06-21T11:34:12.402Z,,,false,,fop_1d22965b8df9c135,fos_mqnpkxge_b9894c0a
Khan Solicitors LTD,firm,,info@yasminkhansolicitors.co.uk,West Yorkshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:33:57.664Z,2026-06-21T11:33:59.281Z,,,,,false,,fop_62a9284f352de76e,fos_mqnpkw9c_9ee9ca6c
Sills & Betteridge LLP,firm,,info@sillslegal.co.uk,Lincolnshire,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,clicked,sent,2026-06-21T11:33:56.295Z,2026-06-21T11:33:57.570Z,,2026-06-21T11:34:11.239Z,,,false,,fop_84dfe3f5c7b70270,fos_mqnpkv7a_a40d0a09
Elliot Mather LLP,firm,,enquiries@elliotmather.co.uk,,Follow-up (day 7),Reminder: join the PoliceStationRepUK firm WhatsApp group,delivered,sent,2026-06-21T11:33:54.701Z,2026-06-21T11:33:57.068Z,,,,,false,,fop_e54625645228f2ff,fos_mqnpku1b_7e36f51e
